Location,FloristName,StartingPrice,Contact,Webpage,Review
"Charlotte, NC",Narcisse Greenway Design,"$7,500 ",(980) 248-4453,http://www.narcissegreenway.com/,5
"Charlotte, NC",Foxglove Fine Flowers,"$5,000 ",(704) 301-3353,https://www.facebook.com/foxglovefineflowers/,5
"Charlotte, NC",Limitless Florals,NA,(980) 875-0992,https://limitlessflorals.com/,4.8
"Charlotte, NC",Sweet Charity Designs,$800 ,(828) 337-1195,https://www.facebook.com/p/Sweet-charity-designs-100063009379787/,4.5
"Charlotte, NC","E & A Weddings Floral, Decor & Planners",$500 ,(757) 434-2634,https://www.weddingsbyemmaandadam.com/,4
"Charlotte, NC",Heatherly Event Design,"$3,000 ",(310) 745-4223,https://www.heatherlyeventdesign.com/,4
"Huntersville, NC",Decor Fancy Ja Floral and Event Designs,"$1,500 ",(803) 882-8031,https://floralsbymarva.wixsite.com/decorfancyja,5
"Huntersville, NC","PK Floral Design, LLC",NA,(980) 228-9552,http://www.pkfloraldesign.com/,5
"Lafayette, LA",Something Borrowed Blooms,$250 ,(844) 879-6222,http://somethingborrowedblooms.com/,5
"Fort Mill, SC",Radiant Bliss Designs,"$1,000 ",(703) 763-9882,https://www.radiantblissdesigns.com/,5
"Chesterfield, VA",Poppin Peonies Floral,"$2,000 ",(804) 664-3482,http://www.poppinpeonies.com/,4.9
"Harrisburg, PA",Sarcasm & Sunshine Designs Flower Preservation,$250 ,(717) 799-0892,https://www.sarcasmandsunshinedesigns.com/,3.8
"Surry, VA",Pick A Bloom-Preserved & Dried Florist-Shipped Nationwide,$350 ,happy@pickabloom.com,https://www.pickabloom.com/,5
"Coventry, CT","Wood & Word Blooms, luxury wood floral designs","$1,500 ",(860) 698-1226,https://woodandwordblooms.com/,4.5
"Monroe, NC",VIIVI Floral Studio,$650 ,(704) 493-5437,https://www.facebook.com/Viivifloralstudio/,5
"Mount Holly, NC",Flora Soul Studio,"$10,000 ",(704) 293-8003,http://www.florasoulstudio.com/,5
"Stilwell, KS",Anthology On Main,"$2,000 ",anthologyonmain@gmail.com,http://www.anthologyonmain.com/,5
"New York, NY","Essence of Flair Weddings and Events, LLC",$10 ,(212) 287-7872,http://www.essenceofflair.com/,4.8
"Simpsonville, SC",Jeannie's Fantastic Florals,"$1,000 ",(864) 360-5816,https://www.facebook.com/JeannieFlorals,4.6
"Winston-salem, NC",Lux Lineage Floral Design,"$1,000 ",(336) 422-6234,https://www.luxlineagefloraldesign.com/,4
"Oklahoma City, OK",Bloom Culture Flowers - Do-it-yourself Wedding Flowers,NA,hello@bloomcultureflowers.com,https://bloomcultureflowers.com/,5
"Raleigh, NC",Victoria’s Royal Ceremonies,NA,(919) 764-4807,https://victoriasroyalceremonies.business.site/?utm_source=gmb&utm_medium=referral,5
"Oklahoma City, OK",Flower Moxie – Do-It-Yourself Wedding Flowers,NA,hello@flowermoxie.com,https://flowermoxie.com/,5
"Concord, NC",Twin Blooms + Traveling Flower Cart,NA,(321)-297-6133,https://www.twinbloomsnc.com/,5
"Washington, DC",Poppy Flowers,NA,Hello@poppyflowers.com,http://www.poppyflowers.com/,5
"Greenville, SC",Silk and Vine,"$8,000 ",silknvine@gmail.com,https://www.silkandvine.com/,3.9
"Redlands, CA",The Faux Bouquets,$175 ,(828) 329-2036,https://thefauxbouquets.com/,4
"Columbia, SC",Xpressions,"$2,000 ",(443) 740-3290,http://www.xpressionsfloraldesigns.com/,4.5
"Blountstown, FL",Avenue Design Studio,"$4,500 ",(850) 294-8979,https://avenueds.com/,5
"Rockingham, NC",Hillside Florist,NA,(910) 997-4028,http://hillsidefloristonline.com/,5
"Minneapolis, MN",Reverie & Rose,$850 ,olivia@reverieandrose.com,https://www.reverieandrose.com/,5
"Kenosha, WI",Lush Floral Designs WI,$175 ,(262) 735-5874,https://lushfloralswi.com/,5
"South Beloit, IL",Forever Blooms,$50 ,Hello@ShopForeverBlooms.com,https://www.shopforeverblooms.com/,5
"Franklinton, NC",Southern Magpie Designs- Wedding and Event Services,"$1,200 ",(919) 886-4439,http://southernmagpiedesigns.com/,4.7
"Greensboro, NC",Blossom Betty’s Floral Co.,NA,(336) 686-3708,https://blossombettysfloralco.com/,4
"Belleair, FL",FLOAT Flora,"$4,000 ",(813) 489-9807,http://www.floatflora.com/,4
"Atlanta, GA",Elizabeth And Leigh,"$7,000 ",(470) 767-0184,https://www.elizabethandleigh.com/,3
"Winter Haven, FL",Rosemary's Garden Florals,"$2,000 ",contact@rosemarysgardenflorals.com,https://www.rosemarysgardenflorals.com/,4.6
"Walkertown, NC",Gracefully Created,"$2,000 ",gracefullycreatedweddings@gmail.com,https://www.gracefully-created.com/,5
"Deep Gap, NC",Felicity Floral Design,"$4,000 ",(704) 651-9675,https://www.highcountryeventprofessionals.com/vendors/felicity-floral-design,5
"Bel Air, MD",Stacy Bowen Floral Design,"$6,000 ",stacybowenflowers@gmail.com,https://stacybowenfloraldesign.com/,5
"Anderson, SC",Rachel Deneroy Designs,NA,(828) 301-4608,https://www.racheldeneroydesigns.com/,5
"Charleston, SC",Flora Designs,$75 ,(843) 364-3676,https://www.floraweddingandeventflowers.com/,5
"Orem, UT",Pressed Floral,$335 ,(801) 691-1821,https://www.pressedfloral.com/,4
"Raleigh, NC",Sparks & Sand,"$1,500 ",Hello@SparksAndSand.com,https://www.sparksandsand.com/,4
"Oregon, IL",Everwild Blooms,"$2,000 ",(347) 629-0063,https://everwildblooms.com/,4
"Beaufort, SC",Lush Floral & Event Stylists,"$2,500 ",(843) 584-5243,https://www.facebook.com/LushFloralandEventStylists/,4
