Location,FloristName,StartingPrice,Contact,Webpage,Review
"Charlotte, NC",Narcisse Greenway Design,"$7,500 ",(980) 248-4453,http://www.narcissegreenway.com/,5
"Charlotte, NC",Foxglove Fine Flowers,"$5,000 ",(704) 301-3353,https://www.facebook.com/foxglovefineflowers/,5
"Charlotte, NC",Limitless Florals,NA,(980) 875-0992,https://limitlessflorals.com/,4.8
"Charlotte, NC",Sweet Charity Designs,$800 ,(828) 337-1195,https://www.facebook.com/p/Sweet-charity-designs-100063009379787/,4.5
"Charlotte, NC","E & A Weddings Floral, Decor & Planners",$500 ,(757) 434-2634,https://www.weddingsbyemmaandadam.com/,4
"Charlotte, NC",Heatherly Event Design,"$3,000 ",(310) 745-4223,https://www.heatherlyeventdesign.com/,4
"Huntersville, NC",Decor Fancy Ja Floral and Event Designs,"$1,500 ",(803) 882-8031,https://floralsbymarva.wixsite.com/decorfancyja,5
"Huntersville, NC","PK Floral Design, LLC",NA,(980) 228-9552,http://www.pkfloraldesign.com/,3
"Lafayette, LA",Something Borrowed Blooms,$250 ,(844) 879-6222,http://somethingborrowedblooms.com/,5
"Fort Mill, SC",Radiant Bliss Designs,"$1,000 ",(703) 763-9882,https://www.radiantblissdesigns.com/,5
